"cluster_labels","Variable","sum"
"Election Fraud/ Anti-Biden","count_of_daily_engagement",2151
"Election Fraud/ Anti-Biden","total_number_of_memes_per_cluster",181
"Facebook Censorship","count_of_daily_engagement",1051
"Facebook Censorship","total_number_of_memes_per_cluster",97
"founding fathers/pandemic","count_of_daily_engagement",623
"founding fathers/pandemic","total_number_of_memes_per_cluster",47
"George Soros Son","count_of_daily_engagement",4312
"George Soros Son","total_number_of_memes_per_cluster",3
"Gun Rights","count_of_daily_engagement",1038
"Gun Rights","total_number_of_memes_per_cluster",51
"Hollywood Immoral","count_of_daily_engagement",1158
"Hollywood Immoral","total_number_of_memes_per_cluster",7
"John Kerry Climate","count_of_daily_engagement",2480
"John Kerry Climate","total_number_of_memes_per_cluster",9
"Julian Assange","count_of_daily_engagement",1331
"Julian Assange","total_number_of_memes_per_cluster",9
"Kamala Harris","count_of_daily_engagement",944
"Kamala Harris","total_number_of_memes_per_cluster",104
"Michelle Obama","count_of_daily_engagement",832
"Michelle Obama","total_number_of_memes_per_cluster",45
"Obama","count_of_daily_engagement",563
"Obama","total_number_of_memes_per_cluster",109
"Orwell politics","count_of_daily_engagement",571
"Orwell politics","total_number_of_memes_per_cluster",102
"Partisan Political Cartoons","count_of_daily_engagement",2100
"Partisan Political Cartoons","total_number_of_memes_per_cluster",462
"Pelosi","count_of_daily_engagement",1303
"Pelosi","total_number_of_memes_per_cluster",81
"Political Conspiracy","count_of_daily_engagement",1564
"Political Conspiracy","total_number_of_memes_per_cluster",187
"political tweets","count_of_daily_engagement",1690
"political tweets","total_number_of_memes_per_cluster",133
"pro-Trump","count_of_daily_engagement",1705
"pro-Trump","total_number_of_memes_per_cluster",118
"Pro-Trump","count_of_daily_engagement",6700
"Pro-Trump","total_number_of_memes_per_cluster",3
"Pro-Trump/ Anti-left","count_of_daily_engagement",1233
"Pro-Trump/ Anti-left","total_number_of_memes_per_cluster",22
"Qanon: Q  Drops","count_of_daily_engagement",816
"Qanon: Q  Drops","total_number_of_memes_per_cluster",285
"Race/ replacement theory","count_of_daily_engagement",600
"Race/ replacement theory","total_number_of_memes_per_cluster",80
"SCOTUS/Me too","count_of_daily_engagement",1070
"SCOTUS/Me too","total_number_of_memes_per_cluster",122
"Socialism","count_of_daily_engagement",892
"Socialism","total_number_of_memes_per_cluster",102
"Trump Tweets","count_of_daily_engagement",748
"Trump Tweets","total_number_of_memes_per_cluster",44
