"date_fig","Variable","sum"
2018-10-01,"count_of_daily_engagement",2
2018-10-01,"count_of_daily_memes",3
2018-11-01,"count_of_daily_engagement",0
2018-11-01,"count_of_daily_memes",1
2018-12-01,"count_of_daily_engagement",2446
2018-12-01,"count_of_daily_memes",2837
2019-01-01,"count_of_daily_engagement",1671
2019-01-01,"count_of_daily_memes",2344
2019-02-01,"count_of_daily_engagement",1234
2019-02-01,"count_of_daily_memes",1466
2019-03-01,"count_of_daily_engagement",861
2019-03-01,"count_of_daily_memes",1039
2019-04-01,"count_of_daily_engagement",812
2019-04-01,"count_of_daily_memes",1037
2019-05-01,"count_of_daily_engagement",5867
2019-05-01,"count_of_daily_memes",9408
2019-06-01,"count_of_daily_engagement",90129
2019-06-01,"count_of_daily_memes",139351
2019-07-01,"count_of_daily_engagement",58986
2019-07-01,"count_of_daily_memes",86746
2019-08-01,"count_of_daily_engagement",41062
2019-08-01,"count_of_daily_memes",57797
2019-09-01,"count_of_daily_engagement",39724
2019-09-01,"count_of_daily_memes",54437
2019-10-01,"count_of_daily_engagement",37567
2019-10-01,"count_of_daily_memes",52240
2019-11-01,"count_of_daily_engagement",12671
2019-11-01,"count_of_daily_memes",16790
2019-12-01,"count_of_daily_engagement",1487
2019-12-01,"count_of_daily_memes",1825
2020-01-01,"count_of_daily_engagement",247
2020-01-01,"count_of_daily_memes",308
2020-02-01,"count_of_daily_engagement",214
2020-02-01,"count_of_daily_memes",308
2020-03-01,"count_of_daily_engagement",209
2020-03-01,"count_of_daily_memes",262
2020-04-01,"count_of_daily_engagement",227
2020-04-01,"count_of_daily_memes",318
2020-05-01,"count_of_daily_engagement",417
2020-05-01,"count_of_daily_memes",520
2020-06-01,"count_of_daily_engagement",1304
2020-06-01,"count_of_daily_memes",1694
2020-07-01,"count_of_daily_engagement",2675
2020-07-01,"count_of_daily_memes",4245
2020-08-01,"count_of_daily_engagement",2562
2020-08-01,"count_of_daily_memes",3746
2020-09-01,"count_of_daily_engagement",3980
2020-09-01,"count_of_daily_memes",5142
2020-10-01,"count_of_daily_engagement",6080
2020-10-01,"count_of_daily_memes",7356
2020-11-01,"count_of_daily_engagement",6143
2020-11-01,"count_of_daily_memes",6928
2020-12-01,"count_of_daily_engagement",5362
2020-12-01,"count_of_daily_memes",5999
2021-01-01,"count_of_daily_engagement",993
2021-01-01,"count_of_daily_memes",1082
