"cluster_labels","Variable","sum"
"Antifa and Veterans","count_of_daily_engagement",14449
"Antifa and Veterans","total_number_of_memes_per_cluster",40
"AOC","count_of_daily_engagement",6561
"AOC","total_number_of_memes_per_cluster",1206
"Biden","count_of_daily_engagement",6038
"Biden","total_number_of_memes_per_cluster",688
"Candace Owens","count_of_daily_engagement",5939
"Candace Owens","total_number_of_memes_per_cluster",153
"Climate Change","count_of_daily_engagement",9907
"Climate Change","total_number_of_memes_per_cluster",1141
"CNN","count_of_daily_engagement",6023
"CNN","total_number_of_memes_per_cluster",351
"Congress","count_of_daily_engagement",13755
"Congress","total_number_of_memes_per_cluster",556
"Conspiracy Theories","count_of_daily_engagement",6611
"Conspiracy Theories","total_number_of_memes_per_cluster",41
"Founding Father Quotes","count_of_daily_engagement",8033
"Founding Father Quotes","total_number_of_memes_per_cluster",927
"General Flynn","count_of_daily_engagement",13573
"General Flynn","total_number_of_memes_per_cluster",284
"GOP women","count_of_daily_engagement",5956
"GOP women","total_number_of_memes_per_cluster",222
"Gun Rights","count_of_daily_engagement",17549
"Gun Rights","total_number_of_memes_per_cluster",1509
"Immigrants","count_of_daily_engagement",10753
"Immigrants","total_number_of_memes_per_cluster",730
"Liberal News Anchors","count_of_daily_engagement",7281
"Liberal News Anchors","total_number_of_memes_per_cluster",170
"Michelle Obama","count_of_daily_engagement",12748
"Michelle Obama","total_number_of_memes_per_cluster",531
"Obama","count_of_daily_engagement",10679
"Obama","total_number_of_memes_per_cluster",1187
"Pro-life","count_of_daily_engagement",8510
"Pro-life","total_number_of_memes_per_cluster",781
"Qanon","count_of_daily_engagement",11137
"Qanon","total_number_of_memes_per_cluster",83
"Socialism","count_of_daily_engagement",8076
"Socialism","total_number_of_memes_per_cluster",834
"Trump 2020","count_of_daily_engagement",7842
"Trump 2020","total_number_of_memes_per_cluster",881
"Trump and God","count_of_daily_engagement",6121
"Trump and God","total_number_of_memes_per_cluster",400
"Trump as President","count_of_daily_engagement",5927
"Trump as President","total_number_of_memes_per_cluster",178
"Trump Election","count_of_daily_engagement",28661
"Trump Election","total_number_of_memes_per_cluster",2548
"Twexit","count_of_daily_engagement",6743
"Twexit","total_number_of_memes_per_cluster",418
"Veterans","count_of_daily_engagement",8334
"Veterans","total_number_of_memes_per_cluster",618
