cluster,total_number_of_memes_per_cluster
-1,213723
0,69
1,88
2,117
3,46
4,44
5,45
6,61
7,113
8,37
9,37
10,57
11,42
12,42
13,34
14,35
15,83
16,43
17,39
18,33
19,53
20,65
21,49
22,35
23,54
24,116
25,32
26,48
27,40
28,287
29,38
30,34
31,32
32,41
33,45
34,34
35,54
36,31
37,47
38,96
39,32
40,34
41,31
42,68
43,63
44,42
45,39
46,83
47,90
48,44
49,40
50,49
51,94
52,62
53,60
54,374
55,44
56,34
57,41
58,106
59,36
60,43
61,47
62,43
63,49
64,44
65,59
66,99
67,36
68,37
69,37
70,34
71,46
72,33
73,43
74,72
75,38
76,42
77,348
78,61
79,58
80,33
81,42
82,39
83,80
84,279
85,32
86,33
87,37
88,86
89,69
90,110
91,31
92,55
93,414
94,55
95,40
96,31
97,35
98,39
99,60
100,37
101,55
102,36
103,46
104,115
105,37
106,76
107,59
108,44
109,36
110,94
111,55
112,33
113,66
114,58
115,57
116,97
117,38
118,32
119,56
120,35
121,54
122,55
123,33
124,32
125,54
126,42
127,38
128,43
129,185
130,31
131,35
132,60
133,39
134,69
135,56
136,44
137,95
138,36
139,53
140,49
141,52
142,46
143,66
144,33
145,37
146,32
147,34
148,97
149,76
150,44
151,50
152,34
153,77
154,34
155,41
156,40
157,34
158,45
159,31
160,64
161,51
162,44
163,65
164,80
165,34
166,31
167,48
168,55
169,37
170,34
171,31
172,33
173,35
174,45
175,33
176,54
177,61
178,39
179,55
180,52
181,33
182,40
183,47
184,48
185,58
186,32
187,67
188,55
189,81
190,35
191,101
192,31
193,43
194,60
195,44
196,48
197,62
198,49
199,40
200,31
201,50
202,71
203,31
204,34
205,31
206,34
207,32
208,43
209,137
210,62
211,37
212,36
213,52
214,45
215,41
216,76
217,38
218,69
219,53
220,35
221,36
222,62
223,37
224,56
225,57
226,71
227,49
228,43
229,76
230,46
231,88
232,46
233,57
234,62
235,34
236,48
237,65
238,50
239,41
240,42
241,71
242,39
243,54
244,56
245,37
246,69
247,75
248,47
249,40
250,73
251,44
252,42
253,83
254,36
255,38
256,31
257,66
258,44
259,68
260,33
261,38
262,32
263,31
264,45
265,41
266,43
267,79
268,42
269,36
270,36
271,57
272,63
273,40
274,41
275,32
276,36
277,47
278,63
279,52
280,59
281,100
282,45
283,44
284,60
285,45
286,31
287,69
288,37
289,71
290,42
291,39
292,43
293,33
294,65
295,33
296,33
297,45
298,76
299,34
300,67
301,42
302,39
